Lajinumero,laji,"Kaikki Tammikuu, Helmikuu","Ensimmäiset viisi havaintoa 1.1. alkaen (x), ensimmäinen yli 10 yksilön havaint (10), enimmäinen yli sadan yksilön havainto (100)  ensimmäinen yli tuhannen yksilön havainto (1000)",Viimeiset viisi havaintoa vuoden lopusta,Vuoden viisi suurinta määrää,"Alkuvuoden viisi suurinta määrää, kuukaudet tammikuu – kesäkuu","Loppuvuoden viisi suurinta määrää, kuukaudet kuukaudet heinäkuu – joulukuu","Viisi suurinta kevään määrää, kuukaudet maaliskuu – toukokuu","Viisi kesän suurinta määrää, kuukaudet kesä-elokuu","Viisi suurinta syyskauden määrää, kuukaudet elokuu - lokakuu","Viisi talviajan suurinta määrää, kuukaudet tammi-helmikuu ja joulukuu",kaikki havainnot,kaikki kevään havainnot kuukaudet maaliskuu – toukokuu,kaikki kesän havainnot kuukauden kesäkuu – elokuu,"kaikki syksyn havainnot, kuukaudet elokuu – lokakuu","Kaikki tammi-helmikuun ja joulukuun havainnot, ei Oulusta","kaikki havainnot, kunnat Taivalkoski ja Pudasjärvi","kaikki havainnot, ei kunnat Taivalkoski ja Pudasjärvi",Havaintojen lukumäärä kunnittai kunnan nimi tai  nimilyhenne),Kaikki joulukuu,"Salatut hvainnot; jos laji on salattu (merkintä salattu TIIIRA-aineistossa) JA laji tulee lajilistauskeen, merkitään seuraavsti ***SALATTU HAVAINTO ***"
182,Tilhi,,x,x,,,,x,x,x,x,,,x,,,,,,,x
183,Koskikara,,x,x,x,,,,,,x,,,x,,,,,,,x
184,Peukaloinen,x,x,x,,,,x,x,x,,,,,,,,,,x,x
185,Rautiainen,x,x,x,,x,x,,,,,,,,,,,,,x,x
186,Punarinta,x,x,x,,x,x,,,,,,,,,,,,,x,x
187,Satakieli,,,,,,,,,,,x,,,,,,,,,x
188,Sinirinta,,x,x,,x,x,,,,,,,x,,,,,,,x
189,Sinipyrstö,,,,,,,,,,,x,,,,,,,,,x
190,Mustaleppälintu,,,,,,,,,,,x,,,,,,,,,x
191,Leppälintu,,x,x,,x,x,,,,,,,,,,,,,,x
192,Pensastasku,,x,x,,x,x,,,,,,,,,,,,,,x
193,Kivitasku,,x,x,,x,x,,,,,,,,,,,,,,x
194,Sepelrastas,,,,,,,,,,,x,,,,,,,,,x
195,Mustarastas,x,x,x,,,,x,x,x,x,,,,,,,,,x,x
196,Räkättirastas,,x,x,,,,x,x,x,x,,,,,,,,,,x
197,Rastaslaji,,,,,,,x,x,x,x,,,,,,,,,,x
198,Laulurastas,x,x,x,,x,x,,,,,,,,,,,,,x,x
199,Punakylkirastas,x,x,x,,x,x,,,,,,,,,,,,,x,x
200,Kulorastas,x,x,x,,x,x,,,,,,,,,,,,,x,x
201,Pensassirkkalintu,,,,,,,,,,,x,,,,,,,,,x
202,Viitasirkkalintu,,,,,,,,,,,x,,,,,,,,,x
203,Kultarinta,,,,,,,,,,,x,,,,,,,,,x
204,Ruokokerttunen,,x,x,,,,x,x,x,,,,,,,,,,,x
205,Viitakerttunen,,,,,,,,,,,x,,,,,,,,,x
206,Luhtakerttunen,,,,,,,,,,,x,,,,,,,,,x
207,Rytikerttunen,,,,,,,,,,,x,,,,,,,,,x
208,Hernekerttu,,x,x,,x,x,,,,,,,,,,,,,,x
209,Pensaskerttu,,x,x,,,,x,x,x,,,,,,,,,,,x
210,Lehtokerttu,,x,x,,x,x,,,,,,,,,,,,,,x
211,Mustapääkerttu,x,x,x,,x,x,,,,,,,,,,,,,x,x
212,Idänuunilintu,,,,,,,,,,,x,,,,,,,,,x
213,Lapinuunilintu,,,,,,,,,,,x,,,,,,,,,x
